# 28x28像素灰度图像数组
# 图像尺寸: 28x28
# 像素值范围: 32 - 159
# 0=黑色, 255=白色

# 第1行
 35,  35,  36,  36,  36,  36,  36,  37,  37,  37,  38,  37,  36,  37,  38,  36,  37,  37,  37,  37,  36,  37,  36,  36,  36,  36,  35,  36
# 第2行
 36,  36,  37,  36,  36,  36,  36,  36,  37,  39,  36,  37,  35,  34,  37,  38,  35,  35,  37,  36,  37,  36,  36,  36,  37,  37,  36,  36
# 第3行
 37,  37,  37,  36,  36,  36,  36,  36,  37,  39,  40,  36,  35,  40,  37,  38,  37,  37,  33,  37,  36,  35,  36,  37,  37,  37,  36,  36
# 第4行
 37,  37,  36,  35,  35,  36,  37,  37,  37,  38,  37,  44,  46,  48,  42,  42,  39,  35,  38,  37,  37,  38,  37,  37,  37,  37,  36,  37
# 第5行
 36,  37,  35,  34,  35,  36,  38,  38,  36,  57, 103, 121, 127, 128, 124, 124, 105,  72,  41,  39,  36,  39,  39,  38,  36,  36,  37,  37
# 第6行
 36,  37,  37,  37,  37,  36,  36,  40,  90, 155, 145, 128, 114, 114, 116, 127, 142, 159, 120,  53,  37,  38,  36,  38,  33,  38,  36,  36
# 第7行
 35,  36,  36,  37,  39,  37,  37,  50, 121, 109,  69,  56,  47,  44,  46,  55,  66,  98, 147, 108,  44,  38,  37,  38,  36,  36,  36,  36
# 第8行
 35,  35,  35,  37,  38,  37,  37,  39,  50,  47,  42,  43,  39,  36,  36,  39,  38,  46, 104, 149,  83,  41,  39,  36,  37,  37,  36,  36
# 第9行
 36,  36,  35,  36,  36,  36,  35,  37,  41,  33,  34,  37,  36,  36,  39,  38,  35,  37,  52, 122, 130,  64,  37,  40,  37,  34,  36,  36
# 第10行
 37,  36,  36,  36,  36,  36,  35,  37,  38,  36,  37,  37,  37,  37,  37,  38,  37,  37,  39,  73, 133, 103,  42,  37,  38,  36,  36,  36
# 第11行
 35,  36,  37,  37,  36,  34,  36,  36,  34,  39,  36,  38,  36,  36,  38,  38,  36,  37,  36,  44, 122, 128,  48,  38,  38,  38,  36,  36
# 第12行
 35,  36,  37,  37,  37,  36,  37,  38,  36,  36,  36,  32,  37,  36,  36,  37,  35,  40,  39,  82, 140, 109,  46,  35,  36,  36,  36,  36
# 第13行
 35,  36,  37,  36,  36,  36,  36,  35,  36,  35,  39,  38,  38,  36,  37,  38,  40,  59,  95, 136, 127,  74,  40,  36,  39,  36,  36,  36
# 第14行
 35,  36,  37,  35,  36,  36,  36,  36,  36,  64, 136, 137, 139, 132, 129, 132, 136, 135, 125, 101,  67,  43,  38,  38,  37,  36,  36,  36
# 第15行
 35,  36,  37,  36,  36,  38,  37,  35,  35,  58, 121, 125, 126, 131, 142, 151, 153, 117,  69,  44,  40,  38,  37,  38,  35,  38,  36,  36
# 第16行
 35,  36,  37,  36,  36,  36,  36,  36,  35,  36,  37,  39,  41,  45,  42,  65, 110, 141, 101,  50,  39,  38,  37,  37,  37,  37,  36,  36
# 第17行
 36,  36,  36,  36,  36,  36,  36,  36,  37,  36,  37,  38,  36,  39,  38,  37,  47,  92, 140, 101,  47,  37,  38,  39,  38,  37,  36,  36
# 第18行
 36,  36,  35,  36,  36,  36,  36,  36,  37,  37,  36,  37,  37,  37,  36,  37,  39,  43, 103, 134,  61,  35,  36,  37,  36,  35,  36,  36
# 第19行
 37,  36,  36,  36,  36,  36,  36,  36,  37,  36,  36,  36,  36,  37,  36,  35,  36,  49, 125, 125,  55,  37,  37,  38,  37,  37,  36,  36
# 第20行
 37,  37,  37,  36,  36,  36,  36,  36,  36,  35,  36,  37,  37,  35,  36,  37,  39,  87, 138,  82,  43,  37,  36,  36,  36,  36,  36,  36
# 第21行
 37,  37,  37,  36,  34,  35,  36,  43,  89,  65,  46,  37,  37,  36,  37,  44,  85, 129, 104,  49,  36,  35,  35,  35,  35,  36,  36,  37
# 第22行
 37,  37,  37,  36,  36,  36,  38,  47, 105, 115, 116,  99,  82,  70,  87, 121, 131, 105,  55,  38,  37,  36,  36,  36,  36,  36,  37,  37
# 第23行
 36,  36,  36,  36,  36,  36,  37,  38,  49,  74, 107, 125, 130, 137, 129, 113,  85,  53,  37,  40,  36,  36,  37,  37,  37,  37,  38,  37
# 第24行
 36,  36,  36,  37,  36,  35,  35,  35,  37,  38,  37,  45,  51,  54,  49,  44,  38,  38,  38,  35,  37,  37,  36,  36,  36,  36,  37,  37
# 第25行
 35,  35,  35,  36,  35,  35,  36,  36,  36,  36,  35,  38,  34,  36,  38,  37,  37,  36,  36,  37,  38,  35,  35,  35,  35,  36,  36,  37
# 第26行
 36,  36,  36,  35,  36,  35,  34,  34,  35,  35,  35,  37,  37,  35,  35,  37,  36,  36,  36,  36,  36,  35,  36,  36,  37,  37,  36,  37
# 第27行
 36,  36,  36,  35,  36,  36,  35,  34,  35,  35,  35,  36,  37,  36,  36,  37,  36,  36,  36,  36,  36,  35,  36,  36,  37,  37,  37,  37
# 第28行
 36,  36,  36,  35,  36,  36,  36,  35,  36,  35,  35,  36,  36,  36,  36,  36,  36,  36,  36,  36,  36,  35,  36,  36,  37,  37,  37,  37

# 统计信息
# 平均像素值: 47.16
# 标准差: 27.13
# 黑色像素(0-50): 669
# 灰色像素(51-200): 115
# 白色像素(201-255): 0
